id,title,price,rating,availability,category,image_url,book_url
1,A Light in the Attic,51.77,3,In stock,Non-Fiction,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,https://books.toscrape.com/catalogue/book_980/index.html
2,Tipping the Velvet,53.74,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,https://books.toscrape.com/catalogue/book_981/index.html
3,Soumission,50.1,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,https://books.toscrape.com/catalogue/book_982/index.html
4,Sharp Objects,47.82,4,In stock,Non-Fiction,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/catalogue/book_983/index.html
5,Sapiens: A Brief History of Humankind,54.23,5,In stock,Non-Fiction,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,https://books.toscrape.com/catalogue/book_984/index.html
6,The Requiem Red,22.65,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,https://books.toscrape.com/catalogue/book_985/index.html
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Non-Fiction,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,https://books.toscrape.com/catalogue/book_986/index.html
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Non-Fiction,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,https://books.toscrape.com/catalogue/book_987/index.html
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,Non-Fiction,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,https://books.toscrape.com/catalogue/book_988/index.html
10,The Black Maria,52.15,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,https://books.toscrape.com/catalogue/book_989/index.html
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Non-Fiction,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,https://books.toscrape.com/catalogue/book_990/index.html
12,Shakespeare's Sonnets,20.66,4,In stock,Non-Fiction,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,https://books.toscrape.com/catalogue/book_991/index.html
13,Set Me Free,17.46,5,In stock,Non-Fiction,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,https://books.toscrape.com/catalogue/book_992/index.html
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Non-Fiction,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/catalogue/book_993/index.html
15,Rip it Up and Start Again,35.02,5,In stock,Non-Fiction,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,https://books.toscrape.com/catalogue/book_994/index.html
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,Non-Fiction,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,https://books.toscrape.com/catalogue/book_995/index.html
17,Olio,23.88,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,https://books.toscrape.com/catalogue/book_996/index.html
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Non-Fiction,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,https://books.toscrape.com/catalogue/book_997/index.html
19,Libertarianism for Beginners,51.33,2,In stock,Non-Fiction,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,https://books.toscrape.com/catalogue/book_998/index.html
20,It's Only the Himalayas,45.17,2,In stock,Non-Fiction,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/book_999/index.html
21,In Her Wake,12.84,1,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_960/index.html
22,How Music Works,37.32,2,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_961/index.html
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_962/index.html
24,Chase Me (Paris Nights #2),25.27,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_963/index.html
25,Black Dust,34.53,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_964/index.html
26,Birdsong: A Story in Pictures,54.64,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_965/index.html
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_966/index.html
28,Aladdin and His Wonderful Lamp,53.13,3,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_967/index.html
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_968/index.html
30,Wall and Piece,44.18,4,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_969/index.html
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Mystery,https://books.toscrape.com/media/cache/example.jpg,https://books.toscrape.com/catalogue/book_970/index.html
